User,ASIN,Rating
A3VB95TK5API9C,0007442920,5
A29HGTDKDXB7T8,0007442920,5
ANWU4TAGX5G33,0007442920,5
A2QIH5TAPEKLDA,0007442920,4
A3SK6BTH6X3EI3,0007442920,4
A10G4B3KCHZ89S,0007442920,5
A2YOFCOEKH3KB,0007442920,4
A1QN4E6C5856B6,0007442920,5
A27V6NFIQ8XFBW,0007442920,3
A1IDKZE0M1TSO0,0007442920,5
A12ZO1K8ZVRBR5,0007442920,5
A324QY39RJ9A4T,0007442920,5
A3U7ELIED4WP4R,0007442920,5
A5EQYRYXC2JHA,0007442920,4
A1VS480MUY50YE,0007442920,5
A3BO9I25753U4C,0007442920,4
A1VFJG0OXZSAN8,0007442920,5
A5FDYZB6MG2TT,0007442920,4
A1ZR06Z5VOTVIE,0007442920,5
A31S1K0EC7VG7U,0007442920,5
A2GSDL0CJN3HTS,0007442920,4
A3AVRSSNHRMNEI,0007442920,4
A2K7ZHCDQQA2B2,0007442920,5
AEL81IO1WURTL,0007442920,5
A2Z23DMX2A8TS5,0007442920,4
AOWE0S9JYYOVH,0007442920,2
A3D4Z4MKKR3LZD,0007442920,4
A19CLIAOITJAZ1,0007442920,4
A1BC1EZ5SWCF6B,0007442920,4
A11HGVNM8Q5A2O,0007442920,3
A6RHVH4KEWURD,0007442920,3
A3AD2MXB66CYGL,0007442920,5
A3PATLW8T3PQV7,0007442920,4
A1NLXZ3SRT9HO2,0007442920,5
A1KZ6HQPP5S5DN,0007442920,4
A2TTHQTPYO88EL,0007442920,5
A2I4SQOSEF7WH5,0007442920,4
A1J6YJ42ZEFYII,0007442920,5
A1K4S4MWXI9E9M,0007442920,5
A5FEPIIKTY9Q2,0007442920,4
A24Z79OS5VQA7Y,0007442920,5
A1JKGTL51HHTU1,0007442920,3
AJD9EXH0MLZ7G,0062267159,5
AYX4FFM42UGTM,0062267159,5
A1PNUOUUJ6AGUJ,0062267159,5
A2Q6FKRZG0DF6G,0062267159,4
AZHZZONN1SO6P,0062267159,5
A2M582GPCYY7F2,0062267159,5
A27NVXX82H6EUN,0062267159,4
A37J1XCFNH6FM4,0062267159,3
A12D9DQKKGMQX5,0062267159,5
A34BRH9R7DHXWU,0062267159,5
A2A118C3EOJLL6,0062267159,3
A31GMWA73W17SP,0062267159,5
A320QB8QO0OTPT,0062267159,4
A366H9K5NYRYDN,0062267159,4
A2VHD8U494G5M4,0062267159,4
A2Y3ZGVRA3S23L,0062267159,5
A10G4B3KCHZ89S,0062267159,5
ATD5ZEHYN4NBL,0062267159,5
A2QRFHJ2MOY662,0062267159,5
A3IYX79XDKAZA8,0062267159,5
A27V6NFIQ8XFBW,0062267159,4
A1MUAEATTGI7G5,0062267159,5
A12ZO1K8ZVRBR5,0062267159,4
A1I6O06CDRWYSH,0062267159,5
A3U7ELIED4WP4R,0062267159,4
A1MU8E76C6HXW4,0062267159,4
A33OHMIDTB3M5S,0062267159,5
A7QN3YS1SUO7G,0062267159,5
A2EQ501NIBC2D2,0062267159,5
A18G6STRQVG0RR,0062267159,5
A3IT591UD2YGOR,0062267159,3
AS2L5BND7AFY5,0062267159,3
AH6SMAK6CHPV4,0062267159,5
A1Y9IWMS0RJKDU,0062267159,5
A3EUQRF7ZHCVFV,0062267159,5
A3BO9I25753U4C,0062267159,3
A2BGLPDRLCCEL2,0062267159,3
A2NNKUZDWQ5UGY,0062267159,5
A2WWLU2R30IL8C,0062267159,5
A1DYYHCVSNIUT,0062267159,5
A286FOU39I9SOF,0062267159,5
A3LW8GY42A4URK,0062267159,4
A1JI83RLITTQST,0062267159,5
A3B3ODDZ59Y4II,0062267159,4
A39B4H20EJ9PMT,0062267159,4
A2XHH3665L33BT,0062267159,5
A2ORQUJV81OPSC,0062267159,5
A2FTJAYZ1P2UGT,0062267159,5
A1B4I7MHW9DX21,0062267159,4
A2QFES3SU563U,0062267159,4
A13NJZ1M018A7C,0062267159,5
AEL81IO1WURTL,0062267159,5
A1SFNAPI9UFL3D,0062267159,5
A1E9DAKE9AFGAN,0062267159,5
A1GRVX5Y1L702P,0062267159,3
A7KLDKH92OP1W,0062267159,5
A37M79D71AVK48,0062267159,5
A3D4Z4MKKR3LZD,0062267159,5
A2Q32CLAWP7B7X,0062267159,5
AZUK2I9YOOT1Y,0062267159,4
A1FJ6YD0TL90GN,0062267159,5
A2ISJ6GF6EGDAT,0062267159,5
A13ELLBM2YXA8B,0062267159,5
A3AD2MXB66CYGL,0062267159,5
AUBZYFC3DTMZC,0062267159,4
A3VX7BS5WRLVWL,0062267159,5
A9508DHWVHBTN,0062267159,5
A3J6BG42QHFD5T,0062267159,5
A36POX7YE2TK0T,0062267159,5
A10C5RP21MQYT6,0062267159,4
A2O3YPJ1EIUPBO,0062267159,5
A2KZ6WK0HWB2TD,0062267159,5
A12G2LI7K2303,0062267159,4
A1NLXZ3SRT9HO2,0062267159,5
A2KE2O5C2XMXGE,0062267159,4
A1ZCEJEA67P6DE,0062267159,5
A3DIRR3JME6UPQ,0062267159,5
AYDO4CLBG2H4M,0062267159,4
A29HCCZYB9DRI9,0062267159,5
A35DG8IV8T205E,0062267159,5
A1U10F4VS6R0EG,0062267159,4
A32ZHWSB4NJINH,0062267159,4
A2TTHQTPYO88EL,0062267159,5
A11GG623AD89YT,0062267159,5
A13KP9R4K5RZES,0062267159,5
A1XDWTVDF37IT3,0062267159,4
A3KM84RAZA7XXC,0062267159,3
A2WFHO27I8XW7L,0062267159,5
AJD9EXH0MLZ7G,0062267175,5
AITNNU2IOBA3Y,0062267175,4
A1PNUOUUJ6AGUJ,0062267175,3
A2M582GPCYY7F2,0062267175,5
A2T3SY1U7SBO0N,0062267175,5
A29HGTDKDXB7T8,0062267175,5
A2BFYRLZH7A1VM,0062267175,3
A2R3VAGCIFTZUZ,0062267175,5
A37J1XCFNH6FM4,0062267175,5
A31GMWA73W17SP,0062267175,5
ANWU4TAGX5G33,0062267175,5
ANO600Q3MHQ5P,0062267175,5
A2Y3ZGVRA3S23L,0062267175,5
A2XUCU5EPOXJGI,0062267175,4
A2PMOXCUSGGMX6,0062267175,4
A23VKINWRY6J92,0062267175,5
A1KYXC0UYAK9UC,0062267175,5
A3IYX79XDKAZA8,0062267175,5
A27V6NFIQ8XFBW,0062267175,3
A1MUAEATTGI7G5,0062267175,4
AMQHFEOYV23LR,0062267175,5
A1APHMJOQ5TUOE,0062267175,4
A2LBU8ZARC0QHC,0062267175,5
A3QU0T2MAJ2VJM,0062267175,5
